Device,Pin,Opal Kelly,Breakout
spi 5 cs_n,HPC:LA17_CC_N,JP2:22,OUT5:5
spi 5 mosi,HPC:LA13_P,JP2:23,OUT5:7
DAC8568 clk,HPC:HA10_P,JP2:76,DAC_SCLK
DAC8568 cs_n,HPC:HA23_P,JP2:70,DAC_SYNC
DAC8568 mosi,HPC:HA23_N,JP2:74,DAC_DIN
ldac,HPC:HA21_P,JP2:68,LDAC
dac_spi clk,AB22,,
dac_spi cs_n,HPC:LA04_P,JP3:63,OUT 2_7
dac_spi mosi,AC21,,
unused,AC20,,
